index,id,zipcode,waterfront,price,diference,price_median
21582,5425700150,98039,0,787500.0,1105000.0,1892500.0
21577,3262301610,98039,0,865000.0,1027500.0,1892500.0
21565,3262300940,98039,0,875000.0,1017500.0,1892500.0
21569,2210500019,98039,0,937500.0,955000.0,1892500.0
21566,3262300940,98039,0,940000.0,952500.0,1892500.0
21578,5426300060,98039,0,1000000.0,892500.0,1892500.0
7418,5016003230,98112,0,169317.0,745683.0,915000.0
21570,6447300345,98039,0,1160000.0,732500.0,1892500.0
21597,3262300920,98039,0,1200000.0,692500.0,1892500.0
21587,5427110040,98039,0,1225000.0,667500.0,1892500.0
21591,3835502815,98039,0,1260000.0,632500.0,1892500.0
13781,2062600020,98004,0,530000.0,620000.0,1150000.0
7508,5016000315,98112,0,332000.0,583000.0,915000.0
13576,7000100850,98004,0,569000.0,581000.0,1150000.0
21575,3262301355,98039,0,1320000.0,572500.0,1892500.0
7443,9209900315,98112,0,350000.0,565000.0,915000.0
13753,2450000275,98004,0,595000.0,555000.0,1150000.0
13637,7000100635,98004,0,600000.0,550000.0,1150000.0
19021,1238500451,98033,0,130000.0,548350.0,678350.0
7630,1338600090,98112,0,370000.0,545000.0,915000.0
